latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.866356,35.154156,299.78,0.41,0.45,2021-03-04,0012,N,VIIRS,n,1,274.3,1.31,N,3
47.210232,37.556736,298.2,0.53,0.5,2021-03-04,0012,N,VIIRS,n,1,269.39,1.77,N,2
47.205856,37.554214,296.37,0.53,0.5,2021-03-04,0012,N,VIIRS,n,1,270.44,1.66,N,2
47.161091,37.561405,316.77,0.54,0.51,2021-03-04,0012,N,VIIRS,n,1,270.97,2.66,N,2
47.154934,37.565681,314.48,0.54,0.51,2021-03-04,0012,N,VIIRS,n,1,269.71,2.66,N,2
47.140831,37.58107,313.36,0.54,0.51,2021-03-04,0012,N,VIIRS,n,1,273.2,3.37,N,2
47.096542,37.595612,338,0.54,0.51,2021-03-04,0012,N,VIIRS,n,1,271.08,6.88,N,2
47.094749,37.602421,300.1,0.54,0.51,2021-03-04,0012,N,VIIRS,n,1,270.58,2.76,N,2
47.88456,33.447063,307.28,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,273.44,1.87,N,2
47.872005,33.448502,326.85,0.53,0.42,2021-03-04,0012,N,VIIRS,n,1,273.92,2.72,N,2
47.882347,33.401085,296.76,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,271.6,1.93,N,2
47.87719,33.406052,301.43,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,273.71,1.98,N,3
47.875713,33.412834,309.58,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,275.63,1.98,N,3
47.868317,33.446709,301.17,0.53,0.42,2021-03-04,0012,N,VIIRS,n,1,270.27,2.72,N,2
47.86758,33.431396,310.43,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,271.11,2.17,N,3
47.872776,33.388962,299.58,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,273.73,1.58,N,2
47.871292,33.395741,309.38,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,272.18,1.58,N,2
47.84547,33.383415,308.14,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,272.39,2.63,N,3
47.629253,34.326473,333.94,0.57,0.43,2021-03-04,0012,N,VIIRS,n,1,271.49,5.54,N,2
47.842155,33.388565,320.58,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,274.32,1.94,N,3
47.843616,33.381741,298.69,0.52,0.42,2021-03-04,0012,N,VIIRS,n,1,270.79,1.94,N,3
47.626984,34.329311,335.84,0.38,0.43,2021-03-04,0012,N,VIIRS,n,1,270.34,3.24,N,2
